,time,House overall Actual (kWh),House overall Predicted (kWh),Price ($/kWh),Energy bill payed by the customer ($),date,timestamp
0,2016-01-01 06:00:00,0.9181669444666667,1.0222679376602173,0.014029999999999999,0.014342419165372848,2016-01-01,06:00:00
1,2016-01-01 07:00:00,0.7147361110833333,0.9696518182754517,0.01367,0.013255140355825423,2016-01-01,07:00:00
2,2016-01-01 08:00:00,0.9600127777833334,0.865350604057312,0.01323,0.011448588491678239,2016-01-01,08:00:00
3,2016-01-01 09:00:00,0.6398363888666665,0.9588377475738525,0.01253,0.012014236977100372,2016-01-01,09:00:00
4,2016-01-01 10:00:00,1.2194161111,0.8045880794525146,0.01107,0.008906790039539337,2016-01-01,10:00:00
5,2016-01-01 11:00:00,0.7987472222833333,1.1548540592193604,0.01107,0.012784234435558319,2016-01-01,11:00:00
6,2016-01-01 12:00:00,0.5370547221499999,0.9044991731643677,0.01107,0.01001280584692955,2016-01-01,12:00:00
7,2016-01-01 13:00:00,0.35837666668333334,0.7248464226722717,0.01106,0.008016801434755326,2016-01-01,13:00:00
8,2016-01-01 14:00:00,0.7567202778333333,0.5509971976280212,0.01124,0.006193208501338959,2016-01-01,14:00:00
9,2016-01-01 15:00:00,1.4705805556,0.8157839179039001,0.01199,0.009781249175667764,2016-01-01,15:00:00
10,2016-01-01 16:00:00,1.3216363889166667,1.1537400484085083,0.013009999999999999,0.015010158029794692,2016-01-01,16:00:00
11,2016-01-01 17:00:00,1.9166886111166666,1.1149859428405762,0.01503,0.01675823872089386,2016-01-01,17:00:00
12,2016-01-01 18:00:00,2.0953897222333335,1.3868709802627563,0.01688,0.023410382146835326,2016-01-01,18:00:00
13,2016-01-01 19:00:00,1.30432333335,1.5042790174484253,0.019129999999999998,0.028776857603788373,2016-01-01,19:00:00
14,2016-01-01 20:00:00,1.2712783333,1.085006594657898,0.01936,0.021005727672576902,2016-01-01,20:00:00
15,2016-01-01 21:00:00,1.48498638895,1.0764086246490479,0.01864,0.020064256763458254,2016-01-01,21:00:00
16,2016-01-01 22:00:00,1.9287633333333334,1.282488465309143,0.019030000000000002,0.024405755494832995,2016-01-01,22:00:00
17,2016-01-01 23:00:00,2.03031500005,1.568719744682312,0.01948,0.030558660626411438,2016-01-01,23:00:00
18,2016-01-02 00:00:00,2.7584386111499994,1.4973106384277344,0.02123,0.0317879048538208,2016-01-02,00:00:00
19,2016-01-02 01:00:00,1.431200277733333,1.9552550315856934,0.0209,0.04086483016014099,2016-01-02,01:00:00
20,2016-01-02 02:00:00,0.9452833332833334,1.1615500450134277,0.02066,0.023997623929977417,2016-01-02,02:00:00
21,2016-01-02 03:00:00,0.7742711110999999,0.8954350352287292,0.02044,0.018302692120075226,2016-01-02,03:00:00
22,2016-01-02 04:00:00,1.4890063889166667,0.8101990818977356,0.01966,0.015928513950109482,2016-01-02,04:00:00
23,2016-01-02 05:00:00,1.3494013889166667,1.2057806253433228,0.01874,0.02259632891893387,2016-01-02,05:00:00
24,2016-01-02 06:00:00,0.7696538888833334,1.1579841375350952,0.019809999999999998,0.022939665764570235,2016-01-02,06:00:00
25,2016-01-02 07:00:00,0.7840547222166666,0.8949236273765564,0.01943,0.01738836607992649,2016-01-02,07:00:00
26,2016-01-02 08:00:00,0.9944672222500001,0.8918521404266357,0.019489999999999997,0.017382198216915126,2016-01-02,08:00:00
27,2016-01-02 09:00:00,0.7785658333,0.9663975834846497,0.01847,0.01784936336696148,2016-01-02,09:00:00
28,2016-01-02 10:00:00,0.8146472222166667,0.9045798182487488,0.01932,0.017476482088565826,2016-01-02,10:00:00
29,2016-01-02 11:00:00,0.9222649999666667,0.9123350977897644,0.019600000000000003,0.017881767916679385,2016-01-02,11:00:00
30,2016-01-02 12:00:00,1.6110386111833335,0.9465845823287964,0.019629999999999998,0.01858145535111427,2016-01-02,12:00:00
31,2016-01-02 13:00:00,1.3942808333499999,1.3919894695281982,0.0195,0.027143794655799865,2016-01-02,13:00:00
32,2016-01-02 14:00:00,0.7242099999833334,1.200061559677124,0.01941,0.02329319487333298,2016-01-02,14:00:00
33,2016-01-02 15:00:00,0.7318808333333332,0.8647785186767578,0.021079999999999998,0.018229531173706053,2016-01-02,15:00:00
34,2016-01-02 16:00:00,0.28691000003333333,0.8588473200798035,0.02052,0.017623547008037567,2016-01-02,16:00:00
35,2016-01-02 17:00:00,0.26041472216666667,0.5926270484924316,0.02138,0.012670366296768189,2016-01-02,17:00:00
36,2016-01-02 18:00:00,0.63046499995,0.5599507689476013,0.02168,0.012139732670783998,2016-01-02,18:00:00
37,2016-01-02 19:00:00,1.6248036111166668,0.7794561386108398,0.0215,0.016758306980133055,2016-01-02,19:00:00
38,2016-01-02 20:00:00,1.76721833335,1.3761073350906372,0.02165,0.029792723804712293,2016-01-02,20:00:00
39,2016-01-02 21:00:00,2.1572491666166664,1.5336726903915405,0.02052,0.031470963606834414,2016-01-02,21:00:00
40,2016-01-02 22:00:00,2.9242480556499997,1.736624002456665,0.020640000000000002,0.03584391941070557,2016-01-02,22:00:00
41,2016-01-02 23:00:00,2.934710277783333,2.049799919128418,0.023289999999999998,0.04773984011650085,2016-01-02,23:00:00
42,2016-01-03 00:00:00,1.7380024999,1.958835482597351,0.026170000000000002,0.051262724579572684,2016-01-03,00:00:00
43,2016-01-03 01:00:00,2.0738597222166666,1.23346745967865,0.02323,0.028653449088335038,2016-01-03,01:00:00
44,2016-01-03 02:00:00,1.6120966666166665,1.4868295192718506,0.022510000000000002,0.03346853247880936,2016-01-03,02:00:00
45,2016-01-03 03:00:00,0.7983486110333333,1.2533468008041382,0.022510000000000002,0.028212836486101154,2016-01-03,03:00:00
46,2016-01-03 04:00:00,0.9979161111,0.8083934783935547,0.02143,0.01732387224197388,2016-01-03,04:00:00
47,2016-01-03 05:00:00,0.7136563889,0.9592214226722717,0.01954,0.01874318659901619,2016-01-03,05:00:00
48,2016-01-03 06:00:00,0.8691936111,0.8683187961578369,0.017929999999999998,0.015568956015110014,2016-01-03,06:00:00
49,2016-01-03 07:00:00,0.9048691666833334,0.9420628547668457,0.015349999999999999,0.014460664820671081,2016-01-03,07:00:00
50,2016-01-03 08:00:00,0.7905505555,0.9480428695678711,0.016149999999999998,0.015310892343521116,2016-01-03,08:00:00
51,2016-01-03 09:00:00,0.7934030555333333,0.9011242389678955,0.01436,0.01294014407157898,2016-01-03,09:00:00
52,2016-01-03 10:00:00,0.8179838889166666,0.9048470854759216,0.01298,0.011744915169477463,2016-01-03,10:00:00
53,2016-01-03 11:00:00,0.8777416666833333,0.9178782105445862,0.01176,0.010794247756004334,2016-01-03,11:00:00
54,2016-01-03 12:00:00,1.245038888916667,0.9392575025558472,0.01234,0.011590437581539154,2016-01-03,12:00:00
55,2016-01-03 13:00:00,0.7388524999,1.1411137580871582,0.01294,0.014766012029647828,2016-01-03,13:00:00
56,2016-01-03 14:00:00,0.6864216666166667,0.8662520051002502,0.01255,0.01087146266400814,2016-01-03,14:00:00
57,2016-01-03 15:00:00,0.71518361115,0.8289070129394531,0.012960000000000001,0.010742634887695314,2016-01-03,15:00:00
58,2016-01-03 16:00:00,1.2335861111166666,0.8605120182037354,0.01368,0.011771804409027099,2016-01-03,16:00:00
59,2016-01-03 17:00:00,1.1415916666333332,1.1402941942214966,0.01442,0.016443042280673982,2016-01-03,17:00:00
60,2016-01-03 18:00:00,0.7835702778000001,1.0442997217178345,0.01543,0.016113544706106184,2016-01-03,18:00:00
61,2016-01-03 19:00:00,0.7762525000333333,0.9308360815048218,0.0148,0.013776374006271363,2016-01-03,19:00:00
62,2016-01-03 20:00:00,1.3716361110999997,0.8939423561096191,0.01476,0.01319458917617798,2016-01-03,20:00:00
63,2016-01-03 21:00:00,1.886243888933333,1.2582839727401733,0.01475,0.018559688597917557,2016-01-03,21:00:00
64,2016-01-03 22:00:00,2.05269694445,1.5584980249404907,0.015009999999999999,0.023393055354356766,2016-01-03,22:00:00
65,2016-01-03 23:00:00,1.9001061110833333,1.571317195892334,0.01632,0.02564389663696289,2016-01-03,23:00:00
66,2016-01-04 00:00:00,1.6276022222666668,1.4484751224517822,0.023530000000000002,0.03408261963129044,2016-01-04,00:00:00
67,2016-01-04 01:00:00,1.5386813888500002,1.3161814212799072,0.02139,0.028153120601177216,2016-01-04,01:00:00
68,2016-01-04 02:00:00,1.0961100000166666,1.2708179950714111,0.019129999999999998,0.024310748245716093,2016-01-04,02:00:00
69,2016-01-04 03:00:00,0.7004649999833333,0.928114116191864,0.01529,0.014190864836573601,2016-01-04,03:00:00
70,2016-01-04 04:00:00,0.9257341666666666,0.7463231086730957,0.0148,0.011045582008361816,2016-01-04,04:00:00
71,2016-01-04 05:00:00,0.5592072222166667,0.9247371554374695,0.01461,0.013510409840941429,2016-01-04,05:00:00
72,2016-01-04 06:00:00,0.7527419444500001,0.7563283443450928,0.01466,0.01108777352809906,2016-01-04,06:00:00
73,2016-01-04 07:00:00,0.6695241667,0.8962822556495667,0.014410000000000001,0.012915427303910256,2016-01-04,07:00:00
74,2016-01-04 08:00:00,0.9257683332833333,0.8503773212432861,0.01476,0.012551569261550904,2016-01-04,08:00:00
75,2016-01-04 09:00:00,0.7975672222,0.9585719704627991,0.01486,0.014244379481077193,2016-01-04,09:00:00
76,2016-01-04 10:00:00,1.2152080556,0.9446452856063843,0.019190000000000002,0.018127743030786517,2016-01-04,10:00:00
77,2016-01-04 11:00:00,1.02252000005,1.0904337167739868,0.01943,0.02118712711691856,2016-01-04,11:00:00
78,2016-01-04 12:00:00,0.6746941666666667,0.9888148307800293,0.01863,0.018421620297431947,2016-01-04,12:00:00
79,2016-01-04 13:00:00,0.5690477777333334,0.8735723495483398,0.018699999999999998,0.016335802936553952,2016-01-04,13:00:00
80,2016-01-04 14:00:00,1.1201730555166667,0.7447630763053894,0.019219999999999998,0.014314346326589582,2016-01-04,14:00:00
81,2016-01-04 15:00:00,1.6122283333333334,0.9469151496887207,0.019690000000000003,0.018644759297370913,2016-01-04,15:00:00
82,2016-01-04 16:00:00,1.0953430554999999,1.1796355247497559,0.01889,0.022283315062522888,2016-01-04,16:00:00
83,2016-01-04 17:00:00,0.9834858333666666,1.0264354944229126,0.020300000000000002,0.020836640536785127,2016-01-04,17:00:00
84,2016-01-04 18:00:00,0.6238705555666667,0.9947943687438965,0.02177,0.021656673407554627,2016-01-04,18:00:00
85,2016-01-04 19:00:00,0.4751752778,0.7830806970596313,0.02127,0.01665612642645836,2016-01-04,19:00:00
86,2016-01-04 20:00:00,0.6394755555666667,0.709173858165741,0.020980000000000002,0.014878467544317247,2016-01-04,20:00:00
87,2016-01-04 21:00:00,1.2273741666666664,0.7418590188026428,0.02113,0.01567548106729984,2016-01-04,21:00:00
